Original_title,Average_rating,Number_of_votes,Box_office,Short_description,Description_1,Description_2,Description_3,Description_4,Description_5,Description_6,Description_7,Description_8,Description_9,Description_10
The Green Mile,8.6,987184,$286801374,"Emerytowany strażnik więzienny opowiada przyjaciółce o niezwykłym mężczyźnie, którego skazano na śmierć za zabójstwo dwóch 9-letnich dziewczynek.","Rok 1935. Paul Edgecombe  jest jednym ze strażników bloku śmierci w więzieniu Cold Mountain. Do jego obowiązków należy odprowadzanie skazańców do celi śmierci długim korytarzem, wyłożonym zieloną wykładziną, zwaną ""Zieloną milą"". Pewnego dnia do więzienia przybywa olbrzymi czarnoskóry skazaniec, John Coffey . Ma oczekiwać na karę śmierci za zamordowanie dwóch białych dziewczynek. Jego wizyta na zawsze zmieni życie Paula i pozostałych pracowników więzienia.","Paul Edgecombe  przez 60 lat pracował jako szef strażników w celi śmierci więzienia Cold Mountain. Zajmował się nadzorem nad mordercami czekającymi na ostatni spacer ""zieloną milą"" - korytarzem z podłogą pokrytą zielonym linoleum, która prowadziła ich do sali z krzesłem elektrycznym. Latami Edgecombe przechodził tę milę z licznymi skazańcami. Nigdy jednak nie spotkał kogoś takiego jak John Coffey , czarnoskóry olbrzym skazany za morderstwo na dziewięcioletnich siostrach. Coffey ma wystarczająco dużo siły, by kogoś zabić, ale jego delikatna natura bardzo kontrastuje z jego wyglądem. Co więcej, ten olbrzymi mężczyzna, panicznie bojący się ciemności, posiada cudowny dar. Edgecombe zaczyna zadawać sobie pytanie, czy Coffey naprawdę jest winny śmierci dziewczynek?","Akcja filmu rozgrywa się w więzieniu Death Row, gdzie w 1935 roku Paul Edgecomb  był szefem strażników bloku śmierci. Opowiada on najdziwniejszą historię, jaką kiedykolwiek przeżył. Do jego obowiązku należało odprowadzanie skazańców korytarzem, zwanym zieloną milą, na egzekucje. Pewnego dnia do bloku trafia John Coffey , potężny czarnoskóry mężczyzna, oskarżony o zamordowanie dwóch białych dziewczynek. W przeciwieństwie do innych więźniów Coffey okazuje się człowiekiem niezwykle łagodnym i obdarzonym darem - potrafi uzdrawiać innych. John dzięki swojej mocy leczy Edgecomba oraz pomaga innym w więzieniu. Strażnicy podejmują walkę o jego ułaskawienie. Czy im się uda?</p>","Wiekowy Paul Edgecomb , emerytowany strażnik więzienny, wspomina pewną niezwykłą historię. W 1935 roku był on szefem strażników bloku śmierci ""E"" w więzieniu Cold Mountain. Do jego obowiązków należało odprowadzanie skazańców do celi śmierci długim korytarzem, wyłożonym zielonym linoleum i zwanym przez to ""zieloną milą"". Edgecomb nie lubił tego, ale jednak nie ukrywał satysfakcji, ponieważ pilnował, aby sprawiedliwości stało się zadość. Jednak pewnego dnia do bloku trafia John Coffey  - potężny, czarnoskóry człowiek, oskarżony o zamordowanie dwóch białych dziewczynek. W przeciwieństwie do innych więźniów i na przekór swemu wyglądowi Coffey okazuje się osobą niezwykle łagodną i co więcej - obdarzoną uzdrowicielską mocą. Czy ktoś taki byłby zdolny do popełnienia morderstwa? Z każdą chwilą Edgecomb przekonuje się o niesłuszności wyroku śmierci dla tego człowieka.</p>","Narratorem i zarazem bohaterem filmu jest 108-letni mężczyzna - Paul , który opowiada o swojej służbie w więziennictwie. Widząc więźniów ginących na krzesłach elektrycznych, zawsze był przekonany o ich winie. Wszystko się zmieniło, gdy do więzienia trafił potężny czarnoskóry mężczyzna, John Coffey , oskarżony o morderstwo dwóch dziewczynek. Coffey zaczyna zadziwiać wszystkich swoją dobrotliwością, wrażliwością i nadprzyrodzonymi zdolnościami. Paul Edgecomb  przekonany o niewinności Coffeya postanawia mu pomóc.","Paul Edgecomb  jest pensjonariuszem domu starców. Kiedy pewnego razu ogląda w telewizji przedwojenny film, wzrusza się i przypomina sobie dawne czasy. Ze wspomnień zwierza się koleżance, opowiadając historię ze swojej młodości, kiedy jako strażnik bloku śmierci w 1935 roku odprowadzał więźniów na krzesło elektryczne. Ostatnia droga skazańców wiodła przez korytarz wyłożony zielonym linoleum nazywany ""zieloną milą"". Pewnego razu na blok trafił ogromny czarnoskóry więzień - John Coffey , skazany za zabójstwo dwóch dziewczynek. Szybko okazało się jednak, że ma on zdolność uzdrawiania, a Edgecomb postawiony został przed decyzją, która zaważy na całym jego życiu.</p>","W 1935 roku policja aresztuje czarnoskórego Johna Coffeya , podejrzanego o morderstwo dwóch białych dziewczynek. Mężczyzna nie przyznaje się do winy. Twierdzi, że chciał im tylko pomóc, ale z powodu jego koloru skóry i braku innych podejrzanych nikt nie chce uwierzyć w jego wersję wydarzeń. Trafia do celi śmierci w więzieniu Cold Mountain, gdzie szefem strażników jest Paul Edgecomb . W zakresie jego obowiązków leży odprowadzanie skazańców na krzesło elektryczne. Korytarz, przez który wtedy przechodzi, ze względu na kolor linoleum leżącego na podłodze nazywa się Zieloną Milą. Zawsze, gdy widział śmierć przestępców, był przekonany o ich winie. Tym razem jest inaczej.",,,
The Shawshank Redemption,8.8,906057,$59841469,"Adaptacja opowiadania Stephena Kinga. Niesłusznie skazany na dożywocie bankier, stara się przetrwać w brutalnym, więziennym świecie.","Lata 30-ste XX wieku. Andy Dufresne  zostaje skazany, za zamordowanie z premedytacją żony i jej kochanka, na pobyt w najcięższym więzieniu - Shawshank. Już pierwszej nocy przekonuje się o bezwzględności strażników, kiedy jeden z nich pobił więźnia na śmierć. W międzyczasie Andy poznaje Reda , z którym się zaprzyjaźnia. Bohater próbuje nikomu nie wchodzić w drogę do momentu, gdy słyszy rozmowę strażników o pieniądzach. Andy, jako bankier znający kruczki prawne, pomaga jednemu z nich w sprawach finansowych i staje się sławny. Po krótkim czasie wszyscy zwracają się do niego o pomoc z podatkami. Naczelnik więzienia nie pozostaje jednak obojętny na jego talent i sam postanawia go wykorzystać do zarobienia pieniędzy. Po jakimś czasie w Shawshank pojawia się nowy więzień, mogący uniewinnić Andy'ego. Jednak chciwość wygrywa z naczelnikiem, który postanawia nie dopuścić do wypuszczenia Dufresne'a.</p>","Film opisuje historię bankiera Andy'ego Dufresne , którego niesłusznie skazano na dożywotnie więzienie za domniemane zabójstwo żony i jej kochanka. W związku z niepodważalnymi dowodami i brakiem innych podejrzanych główny bohater trafia do Shawshank. Tam rządzą brutalni strażnicy z dyrektorem więzienia, Samuelem Nortonem , na czele. Początkowo także więźniowie nie są nastawieni zbyt przychylnie do nowego przybysza. Z czasem się to zmienia. Wspomniany dyrektor wykorzystuje Andy'ego do przeprowadzania swoich brudnych interesów. Dzięki niezwykłej inteligencji i sprytowi udaje się Dufresne przetrwać wszystkie te trudy. Nie bez znaczenia jest też przyjacielska pomoc Ellisa Boyda ""Reda"" Reddinga .</p>","Film nakręcony na podstawie książki mistrza horrorów <a class=""internal"" href=""/person/Stephen+King-43943"" title=""Stephen King"">Stephena Kinga</a>. Andy Dufresne , dobrze zarabiający bankier z Nowej Anglii, zostaje oskarżony o podwójne zabójstwo - swojej żony i jej kochanka. Uparcie twierdzi, że jest niewinny, ale dzięki niezbitym dowodom zostaje skazany na podwójne dożywocie w więzieniu Shawshank. Shawshank rządzi hipokryta i fanatyk biblijny, naczelnik Norton , a wraz z nim sadystyczni strażnicy. Andy już po kilku dniach poznaje brutalną, więzienną rzeczywistość, ale dzięki wrodzonej inteligencji, sprytowi oraz pomocy przyjaciela Ellisa Boyda ""Reda"" Reddinga  udaje mu się zachować nadzieję, która pozwoli dokonać zemsty.</p>","""Skazani na Shawshank"" - film w reżyserii <a class=""internal"" href=""/person/Frank+Darabont-12189"" title=""Frank Darabont"">Franka Darabonta</a>, w oparciu o znakomitą powieść <a class=""internal"" href=""/person/Stephen+King-43943"" title=""Stephen King"">Stephena Kinga</a> pod tym samym tytułem. Młody bankier Andy Dufresne  zostaje posądzony o podwójne morderstwo na swojej żonie i jej kochanku. Sąd wykazuje że Andy popełnił zbrodnie w pełni świadomie dlatego wyznaczył mu najwyższą karę, karę dożywotniego więzienia. Andy zostaje osadzony w Shawshank. Teraz musi przystosować się do zupełnie innego stylu życia. Na wstępie musi stoczyć ""walkę"" z ciotami. Andy jednak odznacza się wielkim opanowaniem. Imponuje swoim zachowaniem Reddowi , lokalnemu ""przemytnikowi"". Redd potrafi załatwić ""To i owo"". Andy szybko się z nim zaprzyjaźnia. Dufresne zostaje doceniony przez swoich ""przełożonych"". Wykorzystując wiedzę pomaga wielu klawiszom a także samemu naczelnikowi. W zamian za to może liczyć na różne profity. Z jednego Andy Dufresne skorzystał z całą pewnością...</p>","Andy Dufrense  jest młodym bankierem, który zostaje niesłusznie oskarżony o zamordowanie żony i jej kochanka. Niestety, sąd przyznaje mu najwyższy wymiar kary. Mężczyzna dowiaduje się, że musi spędzić resztę życia w Shawshank, jednym z najgorszych więzień w całych Stanach Zjednoczonych. Początkowo Andy nie radzi sobie zbyt dobrze. Bity i molestowany przez brutalnych współwięźniów jest bliski załamania. Sytuacja zmienia się jednak diametralnie, kiedy zaprzyjaźnia się z Redem . Dzięki swojemu sprytowi i determinacji Andy zdobywa coraz więcej przywilejów dla siebie i innych więźniów. Z biegiem czasu życie w Shawshank staje się nieco prostsze. Mimo to mężczyzna nie zamierza się poddać. Przez cały czas przygotowuje misterny plan ucieczki. Czy Andy'emu uda się wcielić go w życie? Film jest adaptacją noweli <a class=""internal"" href=""/person/Stephen+King-43943"" title=""Stephen King"">Stephena Kinga</a>.</p>","Film na podstawie opowiadania <a class=""internal"" href=""/person/Stephen+King-43943"" title=""Stephen King"">Stephena Kinga</a> przedstawiający historię życia zdolnego bankiera Andy'ego Dufresne . Został on oskarżony o zamordowanie żony oraz jej kochanka i skazany na dożywocie w bardzo ciężkim więzieniu Shawshank. Podczas gdy część nowo przybyłych więźniów popada w rozpacz i załamuje się, Andy doskonale znosi więzienne warunki życia, zaskarbiając sobie przyjaźń grupy więźniów skupionej wokół osoby Reda . Nowe życie w więziennych murach okazuje się mieć swe uroki, jednak Andy za wszelką cenę chce odzyskać wolność, którą niesłusznie mu odebrano.","Andy Dufresne  jest młodym i obiecującym bankierem. Jego życie zmienia się drastycznie, kiedy zostaje oskarżony o zamordowanie swojej żony  i jej kochanka. Skazany na dożywocie, trafia do więzienia Shawshank, gdzie rządy sprawują sadystyczni strażnicy oraz dyrektor hipokryta i oszust . Żeby przeżyć długie lata, jakie przyjdzie mu spędzić w celi, Andy będzie musiał wykazać się sprytem i wolą przetrwania. Przygotowuje również misterny plan zemsty - tak zaskakujący, że zmyli nawet najbliższych współwięźniów.</p>","Młody, zdolny bankier Andy Dufresne  trafia do Shawshank, więzienia o zaostrzonym rygorze, gdzie ma odbyć karę podwójnego dożywocia za rzekome morderstwo własnej żony i jej kochanka. Na nic zdają się jego zapewnienia o niewinności, gdyż zgromadzono przekonujące dowody wskazujące na jego sprawstwo. Na miejscu zwraca na siebie uwagę Ellisa ""Reda"" Reddinga , który jest swego rodzaju autorytetem w więzieniu. Nowy przyjaciel pomaga Andy'emu przetrwać w murach budynku rządzonego przez bezwzględnego, fanatycznego i obłudnego dyrektora oraz sadystycznych i okrutnych strażników. Życie w Shawshank, choć niełatwe, toczy się swoim torem. Wszystko zmienia się, gdy jego bramy przekracza Tommy Williams , który jest w posiadaniu informacji mogących zainteresować Andy'ego.",,
Forrest Gump,8.5,978869,$678226133,"Historia życia Forresta, chłopca o niskim ilorazie inteligencji z niedowładem kończyn, który staje się miliarderem i bohaterem wojny w Wietnamie.","""Forrest Gump"" to romantyczna historia, w której <a class=""internal"" href=""/person/Tom+Hanks-124"" title=""Tom Hanks"">Tom Hanks</a> wcielił się w tytułową postać - nierozgarniętego młodego człowieka o wielkim sercu i zdolności do odnajdywania się w największych wydarzeniach w historii USA, począwszy od swego dzieciństwa w latach 50-tych. Po tym, jak staje się gwiazdą footballu, odznaczonym bohaterem wojennym i odnoszącym sukcesy biznesmenem, główny bohater zyskuje status osobistości, lecz nigdy nie rezygnuje z poszukiwania tego, co dla niego najważniejsze - miłości swej przyjaciółki, Jenny Curran. <br/> <br/>Forrest jest małym chłopcem, kiedy jego ojciec porzuca rodzinę, a matka utrzymuje siebie i syna biorąc pod swój dach lokatorów. Kiedy okazuje się, że jej chłopiec ma bardzo niski iloraz inteligencji, pozostaje nieustraszona w swoim przekonaniu, że ma on takie same możliwości, jak każdy inny. To prawda - takie same, a nawet dużo większe. W całym swym życiu Forrest niezamierzenie znajduje się twarzą w twarz z wieloma legendarnymi postaciami lat 50-tych, 60-tych i 70-tych. Wiedzie go to na boisko piłki nożnej, poprzez dżungle Wietnamu, Waszyngton, Chiny, Nowy Jork, do Luizjany i w wiele innych miejsc, a wszystko to relacjonuje on w swych poruszających i wstrząsających opowieściach przypadkowo spotkanym osobom.</p>","Jeszcze nie było filmu, który jak ""Forrest Gump"" <a class=""internal"" href=""/person/Robert+Zemeckis-121"" title=""Robert Zemeckis"">Roberta Zemeckisa</a> z porywającą kreacją <a class=""internal"" href=""/person/Tom+Hanks-124"" title=""Tom Hanks"">Toma Hanksa</a> odniósłby równy sukces kasowy i artystyczny. W ciągu trzech burzliwych dekad Forrest zmienia się z lekceważonego inwalidy w gwiazdę amerykańskiego futbolu; z bohatera wojny w Wietnamie staje się królem krewetek; od honorów Białego Domu przechodzi w ramiona ukochanej. Jest odzwierciedleniem naszej epoki, ostatnim niewinnym w czasach, kiedy Ameryka utraciła swoją niewinność. Serce podpowiada mu w sprawach, których nie ogarnie jego umysł. Jest człowiekiem zasad, a jego sukcesy inspirują wszystkich. <br/>""Forrest Gump"" to historia pewnego życia.","USA, koniec lat 40. XX wieku. W Alabamie rodzi się Forrest Gump  - chłopiec z  niedowładem nóg, o niskim ilorazie inteligencji. Chce dorównać zdrowym ludziom i żyć tak jak oni. Efekty jego działań przechodzą najśmielsze oczekiwania. Forrest zostaje gwiazdą futbolu, bohaterem wojny w Wietnamie, mistrzem ping-ponga, podróżuje po świecie, poznaje polityków i artystów. W końcu zostaje przedsiębiorcą i zdobywa majątek. Jako człowiek sukcesu opowiada przygodnie spotkanym ludziom swoją historię.","Forrest Gump  urodził się z niedowładem nóg i upośledzeniem umysłowym. Od dzieciństwa jest wyszydzany i wyśmiewany przez rówieśników, którzy nie potrafią zaakceptować jego odmienności. Oparcie znajduje tylko w dwóch osobach: ukochanej matce , która wspiera go w trudnych chwilach i nie pozwala mu poczuć się gorszym od innych, oraz przyjaciółce Jenny , która sama nie może zaznać spokoju, gdyż jej ojciec jest uzależnionym od alkoholu pedofilem. Forrest odzyskuje sprawność w nogach, gdy ucieka przed prześladowcami. Podczas jednej z ucieczek przypadkowo trafia na trening drużyny futbolowej. Jego ponadprzeciętna szybkość zostaje zauważona, a trener przyjmuje go do zespołu. Forrest dostaje się do College Football All-America Team i w związku z tym wybiera się na studia. Po ich ukończeniu zostaje wcielony do wojska i jedzie na misję do Wietnamu. Trafia do plutonu, którego dowódcą jest porucznik Dan Taylor . Jedynym kolegą Gumpa zostaje Bubba . To tylko początek lawiny przygód, która czeka Forresta. Nie zmieniają go jednak wewnętrznie - nadal najważniejsza jest dla niego miłość do Jenny.","<a class=""internal"" href=""/person/Tom+Hanks-124"" title=""Tom Hanks"">Tom Hanks</a> tworzy zdumiewającą kreację jako Forrest, zwykły człowiek, którego prostota i niewinność ujęła całe pokolenie. Mając u boku mamę , najlepszego przyjaciela imieniem Bubba  i dziewczynę Jenny , Forrest zajmuje miejsce w pierwszym rzędzie przy scenie, na której rozgrywają się najbardziej znaczące i pamiętne wydarzenia drugiej połowy XX wieku.</p>",,,,,
Léon,8.1,830139,$19552639,"Płatny morderca ratuje dwunastoletnią dziewczynkę, której rodzina została zabita przez skorumpowanych policjantów.","Leon  jest płatnym zabójcą. W niczym nie przypomina męskiego, twardego i nieposkromionego złoczyńcy. Wręcz przeciwnie: jest cichy, spokojny, na co dzień pije mleko. Pewnego dnia skorumpowana policja zabija swojego dostawcę narkotyków i jego rodzinę. Przeżyła tylko córka, która postanawia zemścić się na zabójcach. To niezwykle trudne zlecenie otrzymuje Leon, u którego młoda dziewczyna znajduje schronienie.","Leon to płatny morderca z kodeksem honorowym. Jest najlepszy, jednak pewnego dnia łamie swoje reguły i otwiera drzwi Matyldzie, dziewczynce, której skorumpowani policjanci pod wodzą szalonego Stansfielda z DEA zabili całą rodzinę. Chcąc nie chcąc ci dwoje zostają skazani na siebie. Leon uczy Matyldę fachu, a ta w zamian uczy Leona czytać. Między nimi rodzi się więź, która powoduje, że Leon staje się innym człowiekiem. Zobowiązał się on zabić Stansfielda i jego kolesi. Stansfield jednakże jest szalenie nieobliczalnym i przebiegłym przeciwnikiem...</p>","Leon  jest płatnym mordercą. Człowiekiem samotnym, którego jedyny przyjaciel to doniczkowy kwiatek. To się zmienia, gdy poznaje Matyldę , młodą dziewczynę, której całą rodzinę zabili skorumpowani policjanci. Leon początkowo z niechęcią przygarnia przerażoną i smutną Matyldę, która stała się samotna jak on. Zaczyna ich jednak łączyć specyficzna przyjaźń. Wspólnie postanawiają zemścić się na przestępcy o psychopatycznych skłonnościach, który stoi na czele skorumpowanych policjantów.</p>","Matylda  wychowuje się  w patologicznym środowisku z przybraną siostrą i małym bratem. Jej ojczym  zarabia na przechowywaniu u siebie w domu narkotyków. Kiedy okazuje się, że nie są one do końca ""czyste"", cała rodzina zaczyna pakować się w tarapaty. Wkrótce potem grupa tych, którzy ""towar"" w domu ojczyma umieścili, mszczą się, zabijając całą rodzinę. Na ich czele stoi skorumpowany policjant Norman Stansfield . Jatkę przez nich urządzoną przeżywa jedynie dwunastoletnia Matylda, która akurat w tym czasie musiała udać się do sklepu. Dziewczyna po powrocie szybko orientuje się w sytuacji i, by ujść z życiem, udaje się do swojego sąsiada Leona . Mężczyzna zgadza się jej pomóc. Matylda zauważa, że ten z pozoru spokojny i wyważony sąsiad, koło którego mieszkała tyle lat - jest zawodowym zabójcą. Nie zraża to jednak dzielnej dziewczyny, której jedynym celem jest zemsta na ludziach, którzy zabili jej rodzinę. Profesja Leona może jej w tym wiele pomóc. Jednak ani dla niego, ani dla niej na początku nie jest łatwo - ścigający Matyldę zabójcy depczą im po piętach, a Leon musi dbać nie tylko o własną skórę, ale także o rozkapryszoną dwunastolatkę, która chce nauczyć się zabijać. Wyrwanie się ze szponów mafii narkotykowej jest praktycznie niemożliwe.</p>","12-letnia Matylda  mieszka ze swoją rodziną - ojcem, macochą, starszą siostrą i młodszym bratem - w starej, zaniedbanej kamienicy w Nowym Jorku. Jej ojciec stara się utrzymywać rodzinę, tworząc w ich mieszkaniu przechowalnię dla narkotyków. Niestety niewielką część magazynowanych towarów przywłaszcza sobie, licząc na nieuwagę ""pracodawców"". Rodzice nie interesują się dziewczynką, a ona sama nie czuje się z nimi w żaden sposób związana. Kocha tylko swojego czteroletniego brata. Pewnego dnia w domu Matyldy dochodzi do tragedii. Podczas gdy ona robi zakupy, ktoś brutalnie morduje członków jej rodziny. Po powrocie nastolatka zauważa przez uchylone drzwi mieszkania, że zabójcami są dowodzeni przez psychopatycznego Stansfielda  skorumpowani policjanci z wydziału antynarkotykowego. Przeżywa szok, ale nie traci zdrowego rozsądku. Zamiast wejść do domu, dzwoni do drzwi sąsiada. Leon , ekscentryczny płatny morderca na usługach włoskiej mafii, łamie swoje zasady i wpuszcza ją do mieszkania, a kiedy niebezpieczeństwo mija, pozwala jej zostać u siebie na noc. Gdy Matylda odkrywa profesję swojego wybawcy, rozpaczliwie stara się przekonać go, by nauczył ją swego fachu i pomógł pomścić śmierć brata.",,,,,
Requiem for a Dream,7.8,670470,$7390108,"Historia czwórki bohaterów, dla których używki są ucieczką przed otaczającą ich rzeczywistością.","Wstrząsająca opowieść o czwórce bohaterów z Brooklynu, którzy w pogoni za realizacją swoich marzeń odbywają podróż w głąb piekła uzależnień. Ucieczka od rzeczywistości kończy się dla rozprowadzającego narkotyki Harry'ego, jego uzależnionej od pigułek na odchudzanie matki, Sary, pogrążonej w nałogu dziewczyny, Marion, i najlepszego przyjaciela, tragedią. Każdy z nich, nie mogąc sobie poradzić z chaosem otaczającego ich współczesnego świata, popada w uzależnienie od narkotyków, słodyczy, czy telewizji. ""Requiem dla snu"" to hipnotyczna opowieść o tęsknocie za miłością, życiu w iluzji, kłamstwie i zjawisku uzależnienia.</p>","""Requiem dla snu"" opowiada historię czterech bohaterów z Coney Island: drobnego dealera narkotyków, jego połykającej pigułki matki, dziewczyny i najlepszego przyjaciela. Wszyscy oni marzą o lepszym świecie i za wszelką cenę pragną uciec od rzeczywistości. <br/>""Requiem dla snu"", filmowa adaptacja powieści <a class=""internal"" href=""/person/Hubert+Selby+Jr.-40038"" title=""Hubert Selby Jr."">Huberta Selby Jr.</a>, to dantejska wyprawa czwórki bohaterów do piekła złudzeń i głęboko skrywanych pragnień. <a class=""internal"" href=""/person/Darren+Aronofsky-12149"" title=""Darren Aronofsky"">Aronofsky</a> ukazuje wzloty i upadki ludzi rozpaczliwie próbujących zrealizować swoje pragnienia w dzisiejszym Brooklynie. Jednak nadzieje bohaterów na odmianę w ich życiu to marzenia, które nie mają szans się ziścić. Nie mogąc poradzić sobie z otaczającym ich światem, uciekają od rzeczywistości w uzależnienia, jak narkotyki, słodycze, telewizja czy papierosy. Wszystkie postaci, dążąc na ślepo do zrealizowania swojej własnej wizji szczęścia, nie zauważają, kiedy ich marzenia przemieniają się w coś, w co żadna z nich by nawet nie przypuszczała. Każdy z bohaterów ostatecznie pozostaje zupełnie sam ze swoimi fantazjami, tym samym przeżywając osobistą tragedię.","""Requiem dla snu"" to wstrząsający dramat opowiadający o czterech osobach z Brooklynu, zmagających się z nałogami. Marion Silver , Harry Goldfarb  i Tyrone C. Love  nie mogą przestać zażywać heroiny. W największe piekło dostała się Sara Goldfarb  - samotna kobieta i matka Harry'ego, która panicznie boi się lodówki i godzinami ogląda telewizję. Na dodatek bierze tabletki odchudzające, aby zmieścić się w swoją sukienkę ze snów...</p>","Dramatyczna historia opisująca losy paczki przyjaciół, którzy coraz bardziej pogrążają się w nałogu narkotykowym. Harry , aby urzeczywistnić marzenie swojej dziewczyny Marion  o otwarciu sklepu z ubraniami, decyduje się wraz z ciemnoskórym Tyronem  wejść w biznes narkotykowy. Początkowa dobra passa szybko mija, a każdy z bohaterów boryka się z innymi problemami, wynikającymi z przymusowego głodu. <br/>Obraz uzależnienia dopełnia matka Harry'ego, która marząc o występie w telewizyjnym show zaczyna się odchudzać, nieświadomie wpadając w nałóg.</p>","Film opowiada wstrząsającą historię czwórki bohaterów, Harry'ego - drobnego dealera, jego matki, przyjaciela i dziewczyny. Sara Goldfarb, matka Harry'ego, po otrzymaniu propozycji występu w jej ulubionym show, rozpoczyna walkę z nadwagą, aby dobrze wypaść w telewizji. Uzależnienie od słodyczy i sytego jedzenia sprawia, że Sara sięga po tabletki dietetyczne, które zaburzają łaknienie i hamują popęd do jedzenia. Wkrótce te tabletki całkowicie ją niszczą i uzależniają. Harry razem z przyjacielem handlują narkotykami, ale wkrótce zaczynają zażywać swój własny towar. W równie dramatycznej sytuacji jest dziewczyna Harry'ego, która aby zdobyć fundusze na zakup prochów zostaje prostytutką. Z początku obiecująca podróż do szczęścia dla całej czwórki staje się tragedią bez odwrotu...</p>","Wychowany na nowojorskiej ulicy, znerwicowany Harry  odwiedza owdowiałą matkę  wyłącznie po to, aby zabrać telewizor i zastawić go w lombardzie. Razem ze swoją dziewczyną Marion  i zamieszanym w mafijne interesy przyjacielem Tyronem  rozkręca narkotykowy biznes. Zamiast zarobić, cała trójka popada w nałóg i stacza się na dno...</p>",,,,
The Matrix,7.6,822863,$466625730,"Haker komputerowy Neo dowiaduje się od tajemniczych rebeliantów, że świat, w którym żyje, jest tylko obrazem przesyłanym do jego mózgu przez roboty.","Neo  jest genialnym hakerem. Pewnego dnia nawiązuje z nim kontakt tajemniczy Morfeusz  - człowiek, który obiecuje przekazać mu wiedzę o rzeczywistości, w jakiej żyje. Prawdę o dwóch światach: prawdziwym i wygenerowanym, który ma tylko udawać rzeczywistość. Neo przystaje do grupy Morfeusza i zaczyna dostrzegać, że świat, w którym egzystował to fikcja, a jego życiem cały czas ktoś kierował. Kolejne stopnie wtajemniczenia stawiają przed Neo nowe pytania. Czym jest Matrix i komu służy? I jaką rolę w planie Morfeusza ma do spełnienia on sam?</p>","Jest XX w. Thomas Anderson  na co dzień pracuje jako programista, za to prywatnie jest hakerem, działającym pod pseudonimem Neo. Nawiązuje on kontakt z tajemniczym Morfeuszem . Dzięki niemu dowiaduje się, że roboty, które przejęły kontrolę nad światem, umieszczają ludzi w wirtualnej rzeczywistości. Doznaniami i myślami człowieka steruje maszyna. W poszukiwaniu odpowiedzi na nurtujące go pytania Neo trafia do realnego świata. Wraz z Morfeuszem i piękną Trinity  próbuje wyzwolić ludzkość z wirtualnego więzienia.</p>","Wrażenie: Świat codzienny jest naszą rzeczywistością. Rzeczywistość: Nasz świat jest złudzeniem, skomplikowanym oszustwem wymyślonym przez obdarzone sztuczną inteligencją potężne maszyny, które przejęły nad nami kontrolę. Zapierające dech w piersiach popisy kaskaderskie. Niezapomniane obrazy. Wciskająca w fotel akcja. <a class=""internal"" href=""/person/Keanu+Reeves-87"" title=""Keanu Reeves"">Keanu Reeves</a> i <a class=""internal"" href=""/person/Laurence+Fishburne-36"" title=""Laurence Fishburne"">Laurence Fishburne</a> stają na czele walki o wyzwolenie rodzaju ludzkiego spod władzy komputerów w filmie ""Matrix"", cyber thrillerze, który oglądać będziesz dziesiątki razy. Wyreżyserowany przez braci Wachowskich "">Brudne pieniądze</a>"") na podstawie ich własnego scenariusza, pełen efektów, jakich nikt dotąd nie widział, ""Matrix"" otwiera nowy rozdział w historii kina. To film, który sprawi, że zapomnisz o świecie, który cię otacza.","Kiedy piękna nieznajoma  prowadzi hakera Neo  do zakazanego podziemia, odkrywa on szokującą prawdę: Znane nam życie jest jedynie iluzją stworzoną przez wrogą cyberinteligencję. Neo dołącza do legendarnego i niebezpiecznego buntownika Morfeusza  w walce o wolność ludzkości. Teraz każdy ruch, każda sekunda, każda myśl jest walką o przetrwanie i ucieczkę z Matrixa.</p>",,,,,,
